Name,Price (INR),Rating,Brand,Specs,Display,Battery
Nokia Model 1,68479,4.6,Nokia,16GB RAM 64MP Camera,6.6 inch OLED,6000 mAh
Google Model 2,151492,4.7,Google,12GB RAM 64MP Camera,6.6 inch LCD,5000 mAh
Realme Model 3,30958,4.9,Realme,12GB RAM 50MP Camera,6.1 inch OLED,5000 mAh
Vivo Model 4,153139,4.3,Vivo,16GB RAM 48MP Camera,6.0 inch LCD,4500 mAh
OnePlus Model 5,154002,4.3,OnePlus,6GB RAM 200MP Camera,5.6 inch AMOLED,6000 mAh
Apple Model 6,87513,4.4,Apple,4GB RAM 48MP Camera,6.7 inch LCD,4000 mAh
Samsung Model 7,65730,4.1,Samsung,12GB RAM 108MP Camera,6.9 inch LCD,5000 mAh
Realme Model 8,88285,4.6,Realme,4GB RAM 200MP Camera,6.9 inch LCD,4000 mAh
Vivo Model 9,33784,4.5,Vivo,12GB RAM 64MP Camera,5.9 inch AMOLED,4000 mAh
Oppo Model 10,126729,4.0,Oppo,16GB RAM 108MP Camera,6.1 inch LCD,6000 mAh
Nokia Model 11,93636,4.6,Nokia,16GB RAM 50MP Camera,6.4 inch LCD,4500 mAh
Apple Model 12,165656,4.1,Apple,6GB RAM 200MP Camera,6.0 inch OLED,5000 mAh
Xiaomi Model 13,148551,4.3,Xiaomi,6GB RAM 64MP Camera,6.3 inch LCD,4500 mAh
Apple Model 14,190442,4.5,Apple,6GB RAM 50MP Camera,5.8 inch LCD,4000 mAh
Realme Model 15,157858,4.5,Realme,4GB RAM 64MP Camera,6.7 inch AMOLED,5000 mAh
Realme Model 16,103948,4.6,Realme,4GB RAM 200MP Camera,6.9 inch AMOLED,6000 mAh
Google Model 17,127085,4.2,Google,8GB RAM 200MP Camera,6.4 inch LCD,4500 mAh
Oppo Model 18,156985,4.2,Oppo,16GB RAM 48MP Camera,5.7 inch LCD,4000 mAh
Google Model 19,63281,4.2,Google,12GB RAM 200MP Camera,6.4 inch AMOLED,4500 mAh
Xiaomi Model 20,61067,4.2,Xiaomi,12GB RAM 50MP Camera,5.8 inch OLED,4500 mAh
Xiaomi Model 21,155106,4.1,Xiaomi,16GB RAM 50MP Camera,6.1 inch OLED,4000 mAh
Xiaomi Model 22,133070,4.2,Xiaomi,4GB RAM 50MP Camera,6.4 inch OLED,4000 mAh
Xiaomi Model 23,82067,4.4,Xiaomi,4GB RAM 64MP Camera,5.6 inch LCD,4500 mAh
OnePlus Model 24,132400,4.5,OnePlus,8GB RAM 48MP Camera,6.9 inch OLED,6000 mAh
Realme Model 25,184137,4.4,Realme,4GB RAM 64MP Camera,5.6 inch OLED,6000 mAh
Samsung Model 26,134301,4.9,Samsung,16GB RAM 50MP Camera,6.6 inch LCD,4000 mAh
Oppo Model 27,73205,4.1,Oppo,16GB RAM 200MP Camera,6.4 inch OLED,4500 mAh
Google Model 28,83550,4.1,Google,6GB RAM 64MP Camera,6.0 inch LCD,4500 mAh
OnePlus Model 29,136907,4.3,OnePlus,6GB RAM 48MP Camera,6.9 inch OLED,4000 mAh
OnePlus Model 30,100160,4.3,OnePlus,6GB RAM 64MP Camera,6.6 inch OLED,5000 mAh
Realme Model 31,93132,4.5,Realme,8GB RAM 108MP Camera,6.1 inch LCD,5000 mAh
OnePlus Model 32,126882,4.4,OnePlus,16GB RAM 64MP Camera,5.5 inch OLED,6000 mAh
Vivo Model 33,189543,4.3,Vivo,16GB RAM 50MP Camera,6.4 inch OLED,5000 mAh
